wemID,eventName
931505920,BGM_Initialize (BGM_JukeBox=-)(BGM_Stage_JB=-)(BGM_Stage=Ot_1khz)
700601431,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Ot_Emil)(BGM_Stage=-) (BGM_Vocal_Emil=Off)(BGM_Language=-)(BGM_Layer_Emil=-)
429513950,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Ot_Emil)(BGM_Stage=-) (BGM_Vocal_Emil=On)(BGM_Language=EN)(BGM_Layer_Emil=Humming)
67811736,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Ot_Emil)(BGM_Stage=-) (BGM_Vocal_Emil=On)(BGM_Language=EN)(BGM_Layer_Emil=Shop)
44398963,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Ot_Emil)(BGM_Stage=-) (BGM_Vocal_Emil=On)(BGM_Language=EN)(BGM_Layer_Emil=Suitable)
404557028,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Ot_Emil)(BGM_Stage=-) (BGM_Vocal_Emil=On)(BGM_Language=None)(BGM_Layer_Emil=Humming)
14553946,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Ot_Emil)(BGM_Stage=-) (BGM_Vocal_Emil=On)(BGM_Language=None)(BGM_Layer_Emil=Shop)
216810023,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Ot_Emil)(BGM_Stage=-) (BGM_Vocal_Emil=On)(BGM_Language=None)(BGM_Layer_Emil=Suitable)
863800045,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Ot_Inochi)(BGM_Stage=-)
914709821,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Sn_Ending_ABCD)(BGM_Stage=-) (BGM_Layer_Ending_ABCD=A)
614933629,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Sn_Ending_ABCD)(BGM_Stage=-) (BGM_Layer_Ending_ABCD=B)
508969195,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Sn_Ending_ABCD)(BGM_Stage=-) (BGM_Layer_Ending_ABCD=CD)
178710392,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Sn_Ending_E)(BGM_Stage=-)
237157222,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Sn_Ending_E)(BGM_Stage=-)
172088100,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Sn_Ending_E)(BGM_Stage=-)
772205637,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Sn_M1090_S0800)(BGM_Stage=-)
633373096,BGM_Initialize (BGM_JukeBox=In)(BGM_Stage_JB=Sn_M3000_S0440_A)(BGM_Stage=-)
15489494,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_A) (BGM_Hacking=In)(BGM_Layer_Battle_A=-)(BGM_Sp_Vocal=-)~0305
147265263,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_A) (BGM_Hacking=Out)(BGM_Layer_Battle_A=Normal)(BGM_Sp_Vo~0301
574879922,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_A) (BGM_Hacking=Out)(BGM_Layer_Battle_A=Normal)(BGM_Sp_Vo~0302
744163099,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_A) (BGM_Hacking=Out)(BGM_Layer_Battle_A=Robo)(BGM_Sp_Voca~0303
743995714,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_A) (BGM_Hacking=Out)(BGM_Layer_Battle_A=Robo)(BGM_Sp_Voca~0304
50968806,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=-)(BGM_Sp_Vocal=-)(BGM_Vocal=-)(BGM_Laye~0274
208160485,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=Off)(BG~0275
12166696,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=Off)(BG~0276
85816697,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=Off)(BG~0277
12166696,BGM_Initialize (BGM_JukeBox=Out)(BGM_Stage_JB=-)(BGM_Stage=Bt_Battle_AB) (BGM_Hacking=Out)(BGM_Sp_Vocal=Off)(BGM_Vocal=Off)(BG~0278
